Adresse,Date Debut,Description,Heure Debut,Titre,Titre + Description
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",19/04/2020,"Une carte est tirée ? Une histoire est révélée. Parmi vingt-deux contes incroyables, lequel aurez-vous? Celui du Diable, de l’Amoureux ou de la Lune... ?",1899-12-30 15:00:00,EVENEMENT ANNULE : Contes des arcanes,"EVENEMENT ANNULE : Contes des arcanes --- Une carte est tirée ? Une histoire est révélée. Parmi vingt-deux contes incroyables, lequel aurez-vous? Celui du Diable, de l’Amoureux ou de la Lune... ?"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",19/05/2018,"Truco, Scopa, Schwimmen ou Couyon : des jeux bien sympathiques !",1899-12-30 14:00:00,A la découverte des jeux de cartes européens,"A la découverte des jeux de cartes européens --- Truco, Scopa, Schwimmen ou Couyon : des jeux bien sympathiques !"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",19/05/2019,Conférence d'histoire de l'art italien sur Rosalba Giovanna Carriera,1899-12-30 14:30:00,"Conférence : ""Rosalba Carriera : de Venise à Paris""","Conférence : ""Rosalba Carriera : de Venise à Paris"" --- Conférence d'histoire de l'art italien sur Rosalba Giovanna Carriera"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",19/05/2019,Une enquête pleine d’énigmes à résoudre par les enfants et les familles au cœur des collections du Musée.,1899-12-30 14:15:00,En famille ou entre ami.e.s : mesurez-vous à l'escape game du Musée !,En famille ou entre ami.e.s : mesurez-vous à l'escape game du Musée ! --- Une enquête pleine d’énigmes à résoudre par les enfants et les familles au cœur des collections du Musée.
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",19/05/2021,Le Musée Français de la Carte à Jouer propose de vous faire découvrir dans une nouvelle exposition.,1899-12-30 11:00:00,"Exposition : Le Joker, un fou au pays des cartes","Exposition : Le Joker, un fou au pays des cartes --- Le Musée Français de la Carte à Jouer propose de vous faire découvrir dans une nouvelle exposition."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",19/05/2022,"Paysagiste de l'Ile-de-France (1865-1920), retour sur la carrière de ce peintre.",1899-12-30 18:30:00,Conférence : une heure une oeuvre : Autour de quelques peintures de Jean-Constant Pape,"Conférence : une heure une oeuvre : Autour de quelques peintures de Jean-Constant Pape --- Paysagiste de l'Ile-de-France (1865-1920), retour sur la carrière de ce peintre."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",19/06/2021,A découvrir au Musée !,1899-12-30 14:00:00,Bivouac du 12e de ligne de l'association ardennaise napoléonienne (ANN),Bivouac du 12e de ligne de l'association ardennaise napoléonienne (ANN) --- A découvrir au Musée !
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",19/09/2018,"Initiation à l’Histoire de l’art tout au long de l’année 2018-2019, à raison de deux séances par mois, le mercredi de 16h30 à 18h, animée par Eric Parmentier, diplômé de l’Ecole du Louvre",1899-12-30 16:30:00,« Initiation à l’histoire de l’art » saison 2018/2019,"« Initiation à l’histoire de l’art » saison 2018/2019 --- Initiation à l’Histoire de l’art tout au long de l’année 2018-2019, à raison de deux séances par mois, le mercredi de 16h30 à 18h, animée par Eric Parmentier, diplômé de l’Ecole du Louvre"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",19/09/2020,Venez rencontrer 4 artistes pour des ateliers et des performances.,1899-12-30 14:00:00,Chaosmose : Acte 1 : L'ordre et la démesure,Chaosmose : Acte 1 : L'ordre et la démesure --- Venez rencontrer 4 artistes pour des ateliers et des performances.
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",19/10/2019,Fêtons l'Europe lors d'une soirée musicale avec Weiden et Macerata !,1899-12-30 20:00:00,Soirée musicale européenne,Soirée musicale européenne --- Fêtons l'Europe lors d'une soirée musicale avec Weiden et Macerata !
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",19/11/2016,"Cérémonie de remise du prix LUDIA 2016 au cœur d'un week-end événementiel dédié au jeu de société, entrée libre",1899-12-30 16:00:00,Prix Ludia de l'illustration du Jeu de société 2016,"Prix Ludia de l'illustration du Jeu de société 2016 --- Cérémonie de remise du prix LUDIA 2016 au cœur d'un week-end événementiel dédié au jeu de société, entrée libre"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",19/12/2021,Une pièce autour de la Renaissance,1899-12-30 16:00:00,Théâtre : Les Tarots ou l’énigme humaine,Théâtre : Les Tarots ou l’énigme humaine --- Une pièce autour de la Renaissance
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",20/01/2022,"Par Thierry Depaulis, spécialiste reconnu de l'histoire du tarot, commissaire scientifique de l'exposition Tarots enluminés.",1899-12-30 18:30:00,Conférence : Le tarot dans tous ses états,"Conférence : Le tarot dans tous ses états --- Par Thierry Depaulis, spécialiste reconnu de l'histoire du tarot, commissaire scientifique de l'exposition Tarots enluminés."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",20/02/2019,"Atelier pour échanger, découvrir et argumenter, à partir de 16 ans, un mercredi par mois, gratuit",1899-12-30 19:30:00,La philo en atelier,"La philo en atelier --- Atelier pour échanger, découvrir et argumenter, à partir de 16 ans, un mercredi par mois, gratuit"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",20/02/2023,Un stage loisir pour les 6-10 ans pendant la 1ère semaine des vacances d'hiver,1899-12-30 09:30:00,Stage Culturel : Art clownesque,Stage Culturel : Art clownesque --- Un stage loisir pour les 6-10 ans pendant la 1ère semaine des vacances d'hiver
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",20/03/2019,"Atelier pour échanger, découvrir et argumenter, à partir de 16 ans, un mercredi par mois, gratuit",1899-12-30 19:30:00,La philo en atelier,"La philo en atelier --- Atelier pour échanger, découvrir et argumenter, à partir de 16 ans, un mercredi par mois, gratuit"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",20/04/2022,"Première année d'un nouveau cycle de 3 ans, cours proposés par Eric Parmentier, Historien de l'Art, diplômé de l'Ecole du Louvre.",1899-12-30 16:00:00,Cours d'histoire de l'art,"Cours d'histoire de l'art --- Première année d'un nouveau cycle de 3 ans, cours proposés par Eric Parmentier, Historien de l'Art, diplômé de l'Ecole du Louvre."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",20/05/2017,"Jeux de cartes d'Europe, musique et dégustations (entrée libre)",1899-12-30 19:00:00,"Nuit des musées ""Europa !""","Nuit des musées ""Europa !"" --- Jeux de cartes d'Europe, musique et dégustations (entrée libre)"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",20/09/2017,"Le temps d’un après-midi, immergez-vous dans la culture traditionnelle chinoise.",1899-12-30 12:30:00,La culture chinoise au Musée,"La culture chinoise au Musée --- Le temps d’un après-midi, immergez-vous dans la culture traditionnelle chinoise."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",20/10/2016,Un métier à la croisée des chemins : la formation de restaurateur du patrimoine de l'Institut National du Patrimoine.,1899-12-30 18:30:00,Conférence au Musée dans le cadre de la Fête de la science,Conférence au Musée dans le cadre de la Fête de la science --- Un métier à la croisée des chemins : la formation de restaurateur du patrimoine de l'Institut National du Patrimoine.
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",20/10/2019,Laissez-vous charmer par les élèves du conservatoire qui vous proposent un concert de Jazz !,1899-12-30 15:00:00,Concert de l'automne,Concert de l'automne --- Laissez-vous charmer par les élèves du conservatoire qui vous proposent un concert de Jazz !
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",20/11/2022,Spectacle écrit et joué par des enfants sous la mise en scène de Géraldine NAVEL,1899-12-30 15:00:00,Les Lupai en Avignon,Les Lupai en Avignon --- Spectacle écrit et joué par des enfants sous la mise en scène de Géraldine NAVEL
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",20/11/2022,Spectacle proposé dans le cadre de l'Hommage à Janusz Korczak,1899-12-30 18:00:00,La République des enfants du Docteur Korczak,La République des enfants du Docteur Korczak --- Spectacle proposé dans le cadre de l'Hommage à Janusz Korczak
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",21/01/2024,"Conférence par Gwenael Beuchet, attaché de conservation au Musée français de la carte à jouer",1899-12-30 16:00:00,"Une heure, une œuvre : Le Tarot kabbalistique d’Oswald Wirth (1889).","Une heure, une œuvre : Le Tarot kabbalistique d’Oswald Wirth (1889). --- Conférence par Gwenael Beuchet, attaché de conservation au Musée français de la carte à jouer"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",21/02/2022,Un stage loisir pour les 8-13 ans pendant les vacances d'hiver,1899-12-30 10:00:00,Stage art clownesque,Stage art clownesque --- Un stage loisir pour les 8-13 ans pendant les vacances d'hiver
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",21/05/2017,Spectacle de magie pour les grands et les petits.,1899-12-30 15:00:00,Antonio le Magicien,Antonio le Magicien --- Spectacle de magie pour les grands et les petits.
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",21/06/2018,Exposition proposée par l’Atelier d’arts plastiques et l’Atelier d’écriture du Département de cancérologie pédiatrique  de l’Hôpital Gustave Roussy.,1899-12-30 19:00:00,"Exposition ""Hyakunin Isshu""","Exposition ""Hyakunin Isshu"" --- Exposition proposée par l’Atelier d’arts plastiques et l’Atelier d’écriture du Département de cancérologie pédiatrique  de l’Hôpital Gustave Roussy."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",21/06/2018,"Hyakunin Isshu, concert par le trio Toucher",1899-12-30 19:00:00,"Trio Toucher,« Hyakunin Isshu »","Trio Toucher,« Hyakunin Isshu » --- Hyakunin Isshu, concert par le trio Toucher"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",21/06/2018,"Hyakunin Isshu. Micro-pièces, ou chansons-miniatures par le trio Toucher (Reiri Taniguchi, piano - Rémy Souvay, guitare - Hiromi, chant).",1899-12-30 19:00:00,"Hyakunin Isshu, concert  par le trio Toucher","Hyakunin Isshu, concert  par le trio Toucher --- Hyakunin Isshu. Micro-pièces, ou chansons-miniatures par le trio Toucher (Reiri Taniguchi, piano - Rémy Souvay, guitare - Hiromi, chant)."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",21/06/2021,"Dans le cadre de l'exposition Joker, un spectacle à ne pas manquer !",1899-12-30 19:00:00,Spectacle : Le Jeu des Fous !,"Spectacle : Le Jeu des Fous ! --- Dans le cadre de l'exposition Joker, un spectacle à ne pas manquer !"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",21/09/2019,"Dans le cadre de l'exposition ""Portraits contemporains: selfies de l'âme ?"", Loïc Jugue vous propose une animation autour de son oeuvre.",1899-12-30 15:00:00,Biennale d'Issy : faites-vous tirer le portrait par l'artiste Loïc Jugue !,"Biennale d'Issy : faites-vous tirer le portrait par l'artiste Loïc Jugue ! --- Dans le cadre de l'exposition ""Portraits contemporains: selfies de l'âme ?"", Loïc Jugue vous propose une animation autour de son oeuvre."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",21/09/2022,Les artistes des Arches présentent leur nouvelle exposition à l'occasion des 20 ans de l'association.,1899-12-30 18:30:00,Vernissage de l'exposition Regardez voir !,Vernissage de l'exposition Regardez voir ! --- Les artistes des Arches présentent leur nouvelle exposition à l'occasion des 20 ans de l'association.
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",21/10/2017,Des surprises attendent les petits et les grands au musée,1899-12-30 15:00:00,Visite magique au musée,Visite magique au musée --- Des surprises attendent les petits et les grands au musée
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",21/11/2017,De l'aide aux Insurgents décidée par Louis XVI aux deux Guerres mondiales : un lien particulier entre France et Etats- Unis depuis le XVIIIème siècle,1899-12-30 18:00:00,Conférence : Les Français dans la Guerre d’Indépendance américaine,Conférence : Les Français dans la Guerre d’Indépendance américaine --- De l'aide aux Insurgents décidée par Louis XVI aux deux Guerres mondiales : un lien particulier entre France et Etats- Unis depuis le XVIIIème siècle
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",21/12/2019,Découvrez les collections du Musée dans une visite agrémentée de tours de magie !,1899-12-30 15:00:00,Visite magique,Visite magique --- Découvrez les collections du Musée dans une visite agrémentée de tours de magie !
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",22/01/2017,Spectacle de magie pour les grands et les petits.,1899-12-30 15:00:00,Antonio le Magicien,Antonio le Magicien --- Spectacle de magie pour les grands et les petits.
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",22/02/2017,Les éditions du Cherche Midi publient un bel ouvrage de Pierre Dottelonde qui dresse le portrait d'une ville en phase avec son époque.,1899-12-30 18:30:00,Dédicace d'un nouveau livre sur Issy-les-Moulineaux,Dédicace d'un nouveau livre sur Issy-les-Moulineaux --- Les éditions du Cherche Midi publient un bel ouvrage de Pierre Dottelonde qui dresse le portrait d'une ville en phase avec son époque.
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",22/02/2018,"Par Bénédicte Garnier, responsable des activités scientifiques de la collection d’antiques et du site de Meudon au Musée Rodin.",1899-12-30 18:30:00,Conférence : Rodin à la Villa des Brillants,"Conférence : Rodin à la Villa des Brillants --- Par Bénédicte Garnier, responsable des activités scientifiques de la collection d’antiques et du site de Meudon au Musée Rodin."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",22/03/2018,"Par Hélène Pinet, chef du service de la recherche et responsable scientifique des collections de photographies du Musée Rodin.",1899-12-30 18:30:00,Conférence : Rodin et la photographie,"Conférence : Rodin et la photographie --- Par Hélène Pinet, chef du service de la recherche et responsable scientifique des collections de photographies du Musée Rodin."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",22/04/2017,Adaptation d’une farce lyrique de Rabindranath Tagore par une classe de Cm1 de l’école Justin Oudin d’Issy-les-Moulineaux.,1899-12-30 15:00:00,Spectacle: Tasher Desh ou le Royaume des Cartes à jouer,Spectacle: Tasher Desh ou le Royaume des Cartes à jouer --- Adaptation d’une farce lyrique de Rabindranath Tagore par une classe de Cm1 de l’école Justin Oudin d’Issy-les-Moulineaux.
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",22/04/2020,"Atelier pour échanger, découvrir et argumenter, à partir de 16 ans, un mercredi par mois, gratuit",1899-12-30 19:30:00,ANNULÉ | La philo en atelier,"ANNULÉ | La philo en atelier --- Atelier pour échanger, découvrir et argumenter, à partir de 16 ans, un mercredi par mois, gratuit"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",22/09/2019,Initiatives/découvertes,1899-12-30 14:30:00,"Lecture : Adèle et Victor, Les Amoureux d'Issy","Lecture : Adèle et Victor, Les Amoureux d'Issy --- Initiatives/découvertes"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",22/09/2021,Venez découvrir la nouvelle Biennale d'Issy au Musée !,1899-12-30 18:30:00,Biennale d'Issy : vernissage,Biennale d'Issy : vernissage --- Venez découvrir la nouvelle Biennale d'Issy au Musée !
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",22/10/2019,Conférence  par Mélanie Bost Fievet,1899-12-30 14:00:00,"Issy Fantasy : Terremer, la fantasy selon Ursula Le Guin","Issy Fantasy : Terremer, la fantasy selon Ursula Le Guin --- Conférence  par Mélanie Bost Fievet"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",22/10/2019,"Retour sur les origines et l'influence de la littérature Fantasy, pour les 11/14 ans",1899-12-30 14:00:00,"Conférence : Terremer, la Fantasy selon Ursula Le Guin par Mélanie Bost Fievet","Conférence : Terremer, la Fantasy selon Ursula Le Guin par Mélanie Bost Fievet --- Retour sur les origines et l'influence de la littérature Fantasy, pour les 11/14 ans"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",22/12/2020,Le Musée vous dévoile une œuvre de sa collection !,1899-12-30 18:30:00,"Conférence en ligne : mini-série ""Les merveilles du Musée""","Conférence en ligne : mini-série ""Les merveilles du Musée"" --- Le Musée vous dévoile une œuvre de sa collection !"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",23/01/2019,"Atelier pour échanger, découvrir et argumenter, à partir de 16 ans, un mercredi par mois, gratuit",1899-12-30 19:30:00,La philo en atelier : La cruauté dans les contes,"La philo en atelier : La cruauté dans les contes --- Atelier pour échanger, découvrir et argumenter, à partir de 16 ans, un mercredi par mois, gratuit"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",23/01/2023,Les métiers du musée vous intéressent ? Venez échanger avec le commissaire de l'exposition Pokemon au Musée !,1899-12-30 18:00:00,"Pass culture : Rencontre avec Gwenaël Beuchet, attaché de conservation autour de l'exposition Magic, Pokemon and Co","Pass culture : Rencontre avec Gwenaël Beuchet, attaché de conservation autour de l'exposition Magic, Pokemon and Co --- Les métiers du musée vous intéressent ? Venez échanger avec le commissaire de l'exposition Pokemon au Musée !"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",23/03/2019,Venez profiter d'un moment musical au Musée !,1899-12-30 16:15:00,Concert : quintette de cuivres de la Musique des Gardiens de la Paix,Concert : quintette de cuivres de la Musique des Gardiens de la Paix --- Venez profiter d'un moment musical au Musée !
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",23/04/2017,Spectacle de magie pour les grands et les petits.,1899-12-30 15:00:00,Antonio le Magicien,Antonio le Magicien --- Spectacle de magie pour les grands et les petits.
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",23/06/2016,"En présence de Geneviève-Javotte Taillade, petite-nièce d'André Derain, suivie de la dédicace de la récente biographie André Derain, le titan foudroyé, de Michel Charzat.",1899-12-30 18:30:00,"Derain intime, le peintre et ses demeures","Derain intime, le peintre et ses demeures --- En présence de Geneviève-Javotte Taillade, petite-nièce d'André Derain, suivie de la dédicace de la récente biographie André Derain, le titan foudroyé, de Michel Charzat."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",23/06/2018,"Adaptation théâtrale de la célèbre comédie de Shakespeare ""Songe d'une nuit d'été"" proposée par deux classes de CM1-CM2 de l’école Justin Oudin",1899-12-30 10:45:00,"Nuit de fées, nuit de fous","Nuit de fées, nuit de fous --- Adaptation théâtrale de la célèbre comédie de Shakespeare ""Songe d'une nuit d'été"" proposée par deux classes de CM1-CM2 de l’école Justin Oudin"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",23/10/2021,Assistez à la réalisation d'une oeuvre d'art en direct,1899-12-30 15:00:00,Biennale d'Issy : performance de l'artiste Fabien Verschaere,Biennale d'Issy : performance de l'artiste Fabien Verschaere --- Assistez à la réalisation d'une oeuvre d'art en direct
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",23/10/2021,Historim vous convie à une conférence sur les médias au Musée.,1899-12-30 15:00:00,Conférence : « De la télévision couleur à l’art vidéo… Jean-Christophe Averty »,Conférence : « De la télévision couleur à l’art vidéo… Jean-Christophe Averty » --- Historim vous convie à une conférence sur les médias au Musée.
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",24/03/2024,"Allégorie du jeu - activité précaire et inconstante -, cette scène traite de la fragilité du destin et du triomphe de la mort, se rattachant ainsi au genre de la Vanité.",1899-12-30 16:00:00,"Une Heure Une Œuvre : Le Brelan de la vie humaine, conférence par Charlotte Guinois, Conservatrice en chef du patrimoine","Une Heure Une Œuvre : Le Brelan de la vie humaine, conférence par Charlotte Guinois, Conservatrice en chef du patrimoine --- Allégorie du jeu - activité précaire et inconstante -, cette scène traite de la fragilité du destin et du triomphe de la mort, se rattachant ainsi au genre de la Vanité."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",24/04/2019,Une enquête pleine d’énigmes à résoudre par les enfants et les familles au cœur des collections du Musée.,1899-12-30 14:15:00,Mesurez-vous à l'escape game du Musée !,Mesurez-vous à l'escape game du Musée ! --- Une enquête pleine d’énigmes à résoudre par les enfants et les familles au cœur des collections du Musée.
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",24/06/2020,"Des cours d'histoire générale de l'art proposés par Eric Parmentier, historien de l'art.",1899-12-30 16:00:00,Cours d'histoire de l'art au Musée,"Cours d'histoire de l'art au Musée --- Des cours d'histoire générale de l'art proposés par Eric Parmentier, historien de l'art."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",24/06/2021,"Conférence de Pierre Serna, historien et collectionneur de jokers",1899-12-30 18:30:00,"Conférence : Le Joker, un fou au pays des cartes","Conférence : Le Joker, un fou au pays des cartes --- Conférence de Pierre Serna, historien et collectionneur de jokers"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",24/09/2020,"Dans le cadre de l'exposition Chaosmose, l'artiste Jaekyoo Chong vous propose un atelier de tissage.",1899-12-30 14:00:00,Chaosmose : Atelier de tissage,"Chaosmose : Atelier de tissage --- Dans le cadre de l'exposition Chaosmose, l'artiste Jaekyoo Chong vous propose un atelier de tissage."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",24/10/2021,Découvrez la vision du thème de la Biennale par la compagnie isséenne Flies !,1899-12-30 15:00:00,Biennale d'Issy : performance hip hop,Biennale d'Issy : performance hip hop --- Découvrez la vision du thème de la Biennale par la compagnie isséenne Flies !
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",25/01/2017,"Le 25 janvier à 18h30, soyez les bienvenus au vernissage de l'exposition L'Inde et les Ganjifas (entrée libre).",1899-12-30 18:30:00,Vernissage de l'exposition L’INDE & LES GANJIFAS Les cartes à jouer indiennes miroirs d’une civilisation,"Vernissage de l'exposition L’INDE & LES GANJIFAS Les cartes à jouer indiennes miroirs d’une civilisation --- Le 25 janvier à 18h30, soyez les bienvenus au vernissage de l'exposition L'Inde et les Ganjifas (entrée libre)."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",25/01/2017,L'Inde est à l'honneur au Musée Français de la carte à jouer !,1899-12-30 11:00:00,"Exposition : L’Inde et les Ganjifas, les cartes à jouer indiennes miroirs d'une civilisation","Exposition : L’Inde et les Ganjifas, les cartes à jouer indiennes miroirs d'une civilisation --- L'Inde est à l'honneur au Musée Français de la carte à jouer !"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",25/01/2018,"Par Chloé Ariot, conservatrice chargée des sculptures, Musée Rodin.",1899-12-30 18:00:00,Conférence : La sculpture d'Auguste Rodin : une poétique de l'atelier,"Conférence : La sculpture d'Auguste Rodin : une poétique de l'atelier --- Par Chloé Ariot, conservatrice chargée des sculptures, Musée Rodin."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",25/03/2023,"Au départ du Musée, vous êtes invité à sillonner le territoire à vélo pour partir à la rencontre d’œuvres, du territoire des Hauts-de-Seine.",1899-12-30 10:30:00,Printemps de la Sculpture : découvrez la collection du Musée à l'occasion d'un parcours vélo entre Issy et Sèvres,"Printemps de la Sculpture : découvrez la collection du Musée à l'occasion d'un parcours vélo entre Issy et Sèvres --- Au départ du Musée, vous êtes invité à sillonner le territoire à vélo pour partir à la rencontre d’œuvres, du territoire des Hauts-de-Seine."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",25/05/2023,"Réalisé par Anastasia Mikova et Yann Arthus-Bertrand, WOMAN donne la parole à 2000 femmes à travers 50 pays différents.",1899-12-30 19:00:00,Projection  du film  WOMAN,"Projection  du film  WOMAN --- Réalisé par Anastasia Mikova et Yann Arthus-Bertrand, WOMAN donne la parole à 2000 femmes à travers 50 pays différents."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",25/06/2017,Spectacle de magie pour les grands et les petits.,1899-12-30 15:00:00,Les amis d'Antonio le Magicien,Les amis d'Antonio le Magicien --- Spectacle de magie pour les grands et les petits.
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",25/06/2022,"Durant ce week-end le Musée et la Ludothèque mettent à l’honneur le jeu de société : de sa création à son édition, avec beaucoup de jeux, des auteurs et de la bonne humeur !",1899-12-30 15:00:00,LUDISSYME,"LUDISSYME --- Durant ce week-end le Musée et la Ludothèque mettent à l’honneur le jeu de société : de sa création à son édition, avec beaucoup de jeux, des auteurs et de la bonne humeur !"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",25/09/2021,Animation jeunesse autour du théâtre,1899-12-30 15:00:00,Animation : Speed Théâtre,Animation : Speed Théâtre --- Animation jeunesse autour du théâtre
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",25/10/2018,"Conférence par Susan Taylor-Leduc, historienne de l’art",1899-12-30 18:30:00,"Conférence : ""Jeux d’argent, créativité et sociabilité ""","Conférence : ""Jeux d’argent, créativité et sociabilité "" --- Conférence par Susan Taylor-Leduc, historienne de l’art"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",25/10/2018,Une conférence qui donne un nouvel éclairage à l'exposition.,1899-12-30 18:30:00,"Conférence : « Je(ux) et l'Autre : jeux d’argent, créativité et sociabilité »","Conférence : « Je(ux) et l'Autre : jeux d’argent, créativité et sociabilité » --- Une conférence qui donne un nouvel éclairage à l'exposition."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",25/10/2020,"Concours de jeunes talents, déguisement, stands de magie et spectacle avec Antonio... Un programme magique rempli de surprises !",1899-12-30 11:00:00,Festival de magie au Musée de la Carte à Jouer,"Festival de magie au Musée de la Carte à Jouer --- Concours de jeunes talents, déguisement, stands de magie et spectacle avec Antonio... Un programme magique rempli de surprises !"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",26/01/2017,"Fantastikindia vous propose de revenir, à travers la diffusion de nombreux extraits de films, sur les plus belles pages du cinéma indien de Bollywood.",1899-12-30 18:30:00,"Mythes et histoire de l’Inde vus par le cinéma Bollywood, par Jean-Claude Almanzor, association Fantastikindia","Mythes et histoire de l’Inde vus par le cinéma Bollywood, par Jean-Claude Almanzor, association Fantastikindia --- Fantastikindia vous propose de revenir, à travers la diffusion de nombreux extraits de films, sur les plus belles pages du cinéma indien de Bollywood."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",26/01/2020,Rencontres d’histoire de l’art italien : le futurisme,1899-12-30 14:30:00,Conférence - Le futurisme : art et littérature en Italie au début du XXe siècle,Conférence - Le futurisme : art et littérature en Italie au début du XXe siècle --- Rencontres d’histoire de l’art italien : le futurisme
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",26/02/2017,Spectacle de magie pour les grands et les petits.,1899-12-30 15:00:00,Antonio le Magicien,Antonio le Magicien --- Spectacle de magie pour les grands et les petits.
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",26/02/2020,"Atelier pour échanger, découvrir et argumenter, à partir de 16 ans, un mercredi par mois, gratuit",1899-12-30 19:30:00,La philo en atelier,"La philo en atelier --- Atelier pour échanger, découvrir et argumenter, à partir de 16 ans, un mercredi par mois, gratuit"
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",26/03/2017,Spectacle de magie pour les grands et les petits.,1899-12-30 15:00:00,Antonio le Magicien,Antonio le Magicien --- Spectacle de magie pour les grands et les petits.
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",26/04/2020,Vous pouvez retrouver la conférence en ligne sur la page Facebook du Musée.,1899-12-30 15:30:00,"Printemps de la Sculpture : conférence en ligne sur le patrimoine isséen, par Florian Goutagneux","Printemps de la Sculpture : conférence en ligne sur le patrimoine isséen, par Florian Goutagneux --- Vous pouvez retrouver la conférence en ligne sur la page Facebook du Musée."
"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux",26/05/2021,L'exposition du Musée consacrée à l'année terrible 1870-1871.,1899-12-30 11:00:00,Exposition : l'année terrible - regards croisés,Exposition : l'année terrible - regards croisés --- L'exposition du Musée consacrée à l'année terrible 1870-1871.
