,Titre,Description,Détail des conditions,Résumé horaires,Adresse
858,En visio : «Comprendre le rôle du cerveau dans l’apprentissage chez les enfants» par Pascale Toscani,"Conférence-débat avec Pascale Toscani Docteure en psychologie, sur inscription.","Conférence gratuite, renseignements par téléphone, inscription en ligne, 30 participants maximum.","Mercredi 21 avril 2021, 20h30","60 rue du Général Leclerc, 92130"
859,Les séjours été 2021 sont en ligne,"Découvrez les séjours pour les isséens de 6 à 17 ans, inscriptions sur Téliss à partir du mardi 4 mai 2021","Inscription sur Téliss, offre des séjours en ligne, tarif en fonction du taux d'effort",27 avril - 23 mai 2021,Issy-les-Moulineaux
860,Atelier La Fresque du Climat,La Fresque du Climat : un atelier ludique pour comprendre les causes et conséquences du changement climatique.,GRATUIT et sur INSCRIPTION,"Samedi 29 mai 2021, 09h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
861,"Ciné-Parents : Qui aime bien, châtie bien","Projection suivie d'un échange avec Gérard LUROL, psychopédagogue, et Véronique ROUSSEAU, Conseillère conjugale et familiale ; gratuit sur inscription.","Projection gratuite, renseignements par téléphone, inscription en ligne, 30 participants maximum.","Jeudi 8 juillet 2021, 19h30","60 rue du Général Leclerc, 92130"
862,Atelier : Danse parents-bébé,"Un atelier ludique ouvert aux parents, père et mère, accompagnés de leur enfant âgé de 1 an à 2 ans et demi, animé par Cecilia Paniagua Sanchez, sur inscription.","Atelier gratuit, renseignements par téléphone, inscription par email, 4 duos parent-bébé par séance.","Samedi 2 octobre 2021, 09h30, 10h45","60 rue du Général Leclerc, 92130"
863,Fête de Quartiers,Animations de quartier pour tous!,Entrée libre,"Dimanche 11 juillet 2021, 14h00",Allée Saint Lucie 92130 Issy les Moulineaux
864,Fête de Quartiers,Animations de quartier pour tous!,Entrée libre,"Vendredi 2 juillet 2021, 16h30",Square Blériot - Issy-les-Moulineaux
865,Spectacle pour enfants : Le cœur d’Hippolyte,Spectacle pour enfants à découvrir en famille dès 5 ans,"Spectacle gratuit, pour enfants accompagnés, réservation en ligne","Samedi 13 novembre 2021, 16h00",16 rue de l'Abbé Derry 92130 Issy-les-Moulineaux
866,Spectacle pour enfants : Guiseppe,Spectacle pour enfants à découvrir en famille dès 3 ans,"Spectacle gratuit, pour enfants accompagnés, sur réservation en ligne","Dimanche 13 février, 16h00","28 esplanade de la Manufacture, 92130 Issy-les-Moulineaux"
867,Impressions printanières,L’exposition photographique grand format ! L'Espace Jeunes Anne Frank transforme sa cour en un lieu d'exposition photographique,Entrée libre pendant les heures d'ouverture,9 - 30 juillet 2021,"15 rue Diderot, 92130 Issy-les-Moulineaux"
868,L’Espace Ludique Marcel Aymé fête ses 10 ans !,"À l’occasion de son 10e anniversaire, l’espace Ludique vous propose un dimanche ludique sur le thème des super-héros.",Entrée libre et gratuite,"Dimanche 12 septembre 2021, 14h00","15 allée Sainte-Lucie, 92130 Issy-les-Moulineaux"
869,Dimanches en mélodie : Passions,À la découverte d’un genre musical méconnu avec des artistes reconnus.,Entrée libre dans la limite des places disponibles. Renseignements : 01 41 23 80 69.,"Dimanche 24 octobre 2021, 16h30","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
870,Visite libre de l'église Saint-Etienne,Venez découvrir l'un des plus anciens tympans de style gothique d'Ile-de-France.,Des visites réservées aux scolaires sont organisées le vendredi. Plus d'informations sur le site des Enfants du patrimoine.,"Dimanche 19 septembre 2021, 14h00",5 place de l'Église 92130 Issy-les-Moulineaux
871,Animations sur les traces de Napoléon,"Escape game, jeux de société, atelier de dessin, visite de l'exposition...",Entrée libre aux heures d'ouverture de la structure,"Samedi 16 octobre 2021, 14h00","15 rue Diderot, 92130 Issy-les-Moulineaux"
872,Spectacle pour enfants : Soleil,Spectacle pour enfants à découvrir en famille dès 1 an,"Spectacle gratuit, pour les enfants accompagnés, réservation en ligne","Dimanche 7 novembre 2021, 16h00","école des Bords de Seine, 22 rue de la Galiote 92130 Issy-les-Moulineaux"
873,Yektamorphoses : De la porte sur l'écume à la bibliothèque des pluies,Un spectacle proposé par l'artiste Yekta-poète en résidence,Entrée libre sur réservation,"Samedi 20 novembre 2021, 18h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
874,CONFERENCE - La proclamation du Grand-Liban,Présentation d'une conférence à l'Espace Icare sur la période qui recouvre la Proclamation du Grand-Liban,Sur inscription au 01 40 93 44 50 - Participation libre,"Lundi 22 novembre 2021, 19h30","31 Boulevard Gambetta, 92130 Issy-les-Moulineaux"
875,Rencontre avec les auteurs isséens,Retrouvez les talents littéraires de la Ville pour un après-midi de vente-dédicaces lors de la rencontre annuelle des auteurs isséens.,Entrée libre dans la limite des places disponibles.,"Samedi 20 novembre 2021, 15h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
876,Spectacle pour enfants : Poulette et petit coq,Spectacle pour enfants à découvrir en famille dès 2 ans,"Spectacle gratuit, pour enfants accompagnés, sur réservation en ligne","Samedi 15 janvier, 11h00, 16h00",16 rue de l'Abbé Derry 92130 Issy-les-Moulineaux
877,Atelier d'écriture Expoésie,Atelier d'écriture,Entrée libre sur réservation,"Lundi 7 février, 15h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
878,Atelier d'écriture Expoésie,Atelier d'écriture,Entrée libre sur réservation,"Lundi 7 mars, 15h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
879,Stage : cinéma d'animation,La Halle des Épinettes organise 2 stages d’initiation au cinéma d’animation pendant la première semaine des vacances d'hiver.,"Résider à Issy-les-Moulineaux, être adhérent à l'association CLAVIM, inscription et paiement en ligne sur Téliss",21 - 25 février,"47 rue de l'Égalité, 92130 Issy-les-Moulineaux"
880,Rendez vous des histoires,Histoires à savourer pour les petites oreilles !,Sur inscription : à l'accueil ou par téléphone au 01 41 23 81 62,"Mercredi 2 mars, 10h30","2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
881,Fontaines et bassins du côteau isséen,Visite guidée de l'Office de Tourisme,sur réservation,"Lundi 21 mars, 14h15",62 rue du Général Leclerc 92130 Issy-les-Moulineaux
882,Info pratique | Pharmacie de garde dimanche 27 mars,Retrouvez les pharmacies de garde du mois de mars.,,"Dimanche 27 mars, 10h00",10 cours Ancienne Boulangerie 92130 Issy-les-moulineaux
883,"La cyber, mon futur métier","Soirée métier à destination des collégiens, lycéens et étudiants pour découvrir les métiers de la cybersécurité avec des experts de Microsoft.","Évènement gratuit, sur réservation","Jeudi 21 avril, 19h00","15 rue Diderot, 92130 Issy-les-Moulineaux"
884,Info pratique | Pharmacie de garde du dimanche 17 avril,Retrouvez les pharmacies de garde du mois d'avril.,,"Dimanche 17 avril, 08h00","116, boulevard Gallieni"
885,InterLud' : lectures jouées,Séance mêlant jeux et lectures.,Entrée libre,"Mercredi 18 mai, 10h30","15 allée Sainte-Lucie, 92130 Issy-les-Moulineaux"
886,Soirée jeux de société adultes,Une soirée entièrement dédiée aux jeux de société modernes,Gratuit pour les adhérents - 2€ pour les non-adhérents,20 et 21 mai,"15 allée Sainte-Lucie, 92130 Issy-les-Moulineaux"
887,Marmottines,Rendez vous des histoires !,Sur inscription à l'accueil ou par téléphone au 01 41 23 84 00,"Mercredi 8 juin, 09h30",90-98 promenade du verger 92130 Issy-les-Moulineaux
888,Marmottines,Rendez vous des histoires !,Sur inscription à l'accueil jeunesse ou par téléphone au 01 41 23 81 62,"Samedi 4 juin, 11h00","2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
889,Récits du mercredi,Rendez-vous des histoires,Inscription : à l'accueil ou par téléphone au 01 41 23 81 62,"Mercredi 15 juin, 17h00","2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
890,Récits du mercredi,Rendez-vous des histoires,Sur inscription au 01 41 23 81 62.,"Mercredi 15 juin, 10h30","2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
891,La philo à l'écran φ Le choix des spectateurs,Projection suivie d'une conversation philosophique guidée par l'équipe de la Halle des Épinettes,Entrée gratuite sur réservation en ligne indispensable,"Samedi 14 mai, 20h00","45-47 rue de l'égalité, 92130 Issy-les-Moulineaux"
892,ATELIER ASSOCIATIF - Comment favoriser l’engagement autour de son évènement ?,Venez assister au premier webinaire d'Assolib et découvrir de nouvelles astuces pour gérer au mieux vos prochains évènements grâce aux outils numériques.,Sur inscription,"Jeudi 16 juin, 17h00",issy-les-moulineaux
893,"La Campagne à Issy : Atelier ""fruits et légumes de saison""","A partir d'un jeu, vous comprendrez l'importance pour la santé et l'environnement de consommer des fruits et légumes de saison.",Atelier gratuit en accès libre et en continu.,"Dimanche 15 mai, 10h00",115 boulevard Rodin issy-les-moulineaux
894,"Projection film ""le vélo de Ghislain Lambert""",Projection gratuite dans le cadre de l'arrivée de la mythique course cycliste Bordeaux-Paris à la Cité des Sports.,"entrée libre, gratuit, sur inscription","Samedi 21 mai, 20h30",92 rue du Gouverneur General Éboué 92130 Issy-les-Moulineaux
895,"Atelier vélo : diagnostic et petite réparation, marquage et sensibilisation","Venez faire diagnostiquer votre vélo, réaliser un marquage Bicycode ou encore vous sensibiliser aux bons gestes à adopter à vélo.","Atelier gratuit, seul le marquage (Bicycode) est payant et s'élève à 10 €.","Samedi 25 juin, 10h00",48 rue d'erevan issy
896,"Journée nationale commémorative de l’Appel du général de Gaulle, le 18 juin 1940",Le samedi 18 juin prochain aura lieu le 82ème anniversaire de l'Appel du général de Gaulle à refuser la défaite et à poursuivre le combat contre l’ennemi.,Entrée libre,"Samedi 18 juin, 18h30",Place 8 Mai 1945 / buste du Général de Gaulle.
897,Soirée de présentation de la saison,La saison 2022-2023 se dévoile à l'Auditorium !,entrée libre sur inscription,"Mardi 14 juin, 19h30","11-13 rue Danton / mail Raymond Menan, 92130 Issy-les-Moulineaux"
898,"Vernissage de l'exposition ""Au coeur de l'architecture""","Exposition de Sacha Luisada, Prix de la Vocation 2021",,"Jeudi 23 juin, 18h00","60 rue du Général Leclerc, Issy-les-Moulineaux"
899,Contes pour enfants : D’eau douce et d’eau salée,Spectacle à découvrir en famille de 3 à 6 ans,"Spectacle gratuit, pour enfants accompagnés, sur réservation","Samedi 26 novembre, 16h00",31 rue du Docteur Lombard 92130 Issy-les-Moulineaux
